data	zone	land	farmer	pests	aware	threat	cons	cull	support
-1.11609127	-1.127214388	-1.358328525	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	-1.062731456	0.808020736
-1.11609127	-1.127214388	0.733642679	1.434107287	2.415948169	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	-1.127214388	0.733642679	-0.694876727	-0.412478956	-0.861896839	-1.348034759	0.418211422	0.937704226	0.808020736
-1.11609127	-1.127214388	-1.358328525	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	-1.127214388	0.733642679	-0.694876727	2.415948169	1.156203077	0.739244868	0.418211422	-1.062731456	-1.233294807
-1.11609127	-1.127214388	-1.358328525	-0.694876727	-0.412478956	-0.861896839	-1.348034759	-2.382832522	-1.062731456	-1.233294807
-1.11609127	-1.127214388	0.733642679	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	-1.127214388	0.733642679	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	-1.127214388	0.733642679	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	-1.062731456	-1.233294807
-1.11609127	-1.127214388	0.733642679	1.434107287	-0.412478956	-0.861896839	-1.348034759	-2.382832522	-1.062731456	-1.233294807
-1.11609127	-1.127214388	0.733642679	-0.694876727	-0.412478956	1.156203077	-1.348034759	-2.382832522	-1.062731456	-1.233294807
-1.11609127	-1.127214388	-1.358328525	1.434107287	-0.412478956	1.156203077	0.739244868	0.418211422	-1.062731456	-1.233294807
-1.11609127	-1.127214388	-1.358328525	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	-1.127214388	0.733642679	1.434107287	-0.412478956	1.156203077	-1.348034759	0.418211422	-1.062731456	-1.233294807
-1.11609127	-1.127214388	-1.358328525	-0.694876727	-0.412478956	-0.861896839	-1.348034759	0.418211422	0.937704226	0.808020736
-1.11609127	-1.127214388	-1.358328525	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	-1.127214388	0.733642679	-0.694876727	2.415948169	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	-1.127214388	0.733642679	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	-1.127214388	-1.358328525	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	-1.062731456	-1.233294807
-1.11609127	-1.127214388	-1.358328525	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	-1.127214388	0.733642679	1.434107287	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	-1.127214388	0.733642679	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	-1.062731456	0.808020736
-1.11609127	-1.127214388	0.733642679	1.434107287	-0.412478956	1.156203077	-1.348034759	0.418211422	-1.062731456	-1.233294807
-1.11609127	-1.127214388	0.733642679	-0.694876727	-0.412478956	1.156203077	-1.348034759	0.418211422	-1.062731456	-1.233294807
-1.11609127	-1.127214388	-1.358328525	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	-1.127214388	0.733642679	1.434107287	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	-1.127214388	-1.358328525	-0.694876727	-0.412478956	1.156203077	-1.348034759	0.418211422	0.937704226	0.808020736
-1.11609127	-1.127214388	0.733642679	1.434107287	-0.412478956	-0.861896839	0.739244868	0.418211422	-1.062731456	-1.233294807
-1.11609127	-1.127214388	0.733642679	1.434107287	-0.412478956	1.156203077	0.739244868	0.418211422	-1.062731456	-1.233294807
-1.11609127	-1.127214388	-1.358328525	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	-1.062731456	0.808020736
-1.11609127	-1.127214388	-1.358328525	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	-1.062731456	-1.233294807
-1.11609127	-1.127214388	0.733642679	1.434107287	-0.412478956	1.156203077	0.739244868	0.418211422	-1.062731456	-1.233294807
-1.11609127	-1.127214388	-1.358328525	-0.694876727	-0.412478956	1.156203077	-1.348034759	0.418211422	0.937704226	0.808020736
0.892873016	-1.127214388	0.733642679	1.434107287	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
0.892873016	-1.127214388	0.733642679	1.434107287	2.415948169	1.156203077	0.739244868	-2.382832522	0.937704226	0.808020736
0.892873016	-1.127214388	0.733642679	-0.694876727	2.415948169	-0.861896839	0.739244868	0.418211422	-1.062731456	-1.233294807
0.892873016	-1.127214388	0.733642679	1.434107287	-0.412478956	-0.861896839	-1.348034759	0.418211422	-1.062731456	-1.233294807
0.892873016	-1.127214388	0.733642679	1.434107287	-0.412478956	-0.861896839	0.739244868	0.418211422	-1.062731456	0.808020736
0.892873016	-1.127214388	0.733642679	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	-1.062731456	0.808020736
0.892873016	-1.127214388	-1.358328525	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
0.892873016	-1.127214388	0.733642679	1.434107287	2.415948169	-0.861896839	-1.348034759	0.418211422	-1.062731456	-1.233294807
0.892873016	-1.127214388	0.733642679	1.434107287	-0.412478956	1.156203077	-1.348034759	0.418211422	-1.062731456	-1.233294807
0.892873016	-1.127214388	0.733642679	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
0.892873016	-1.127214388	0.733642679	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	-1.062731456	-1.233294807
0.892873016	-1.127214388	0.733642679	1.434107287	2.415948169	-0.861896839	-1.348034759	0.418211422	-1.062731456	-1.233294807
0.892873016	-1.127214388	0.733642679	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
0.892873016	-1.127214388	-1.358328525	-0.694876727	-0.412478956	1.156203077	0.739244868	-2.382832522	0.937704226	0.808020736
0.892873016	-1.127214388	0.733642679	-0.694876727	2.415948169	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
0.892873016	-1.127214388	0.733642679	1.434107287	2.415948169	-0.861896839	0.739244868	0.418211422	-1.062731456	-1.233294807
0.892873016	-1.127214388	0.733642679	-0.694876727	-0.412478956	-0.861896839	-1.348034759	0.418211422	-1.062731456	-1.233294807
0.892873016	-1.127214388	-1.358328525	-0.694876727	2.415948169	-0.861896839	0.739244868	0.418211422	-1.062731456	0.808020736
0.892873016	-1.127214388	0.733642679	1.434107287	-0.412478956	-0.861896839	-1.348034759	0.418211422	0.937704226	0.808020736
0.892873016	-1.127214388	0.733642679	-0.694876727	2.415948169	-0.861896839	-1.348034759	0.418211422	0.937704226	0.808020736
0.892873016	-1.127214388	0.733642679	1.434107287	-0.412478956	-0.861896839	0.739244868	0.418211422	-1.062731456	-1.233294807
0.892873016	-1.127214388	-1.358328525	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	-1.062731456	-1.233294807
0.892873016	-1.127214388	0.733642679	1.434107287	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
0.892873016	-1.127214388	0.733642679	1.434107287	-0.412478956	1.156203077	0.739244868	0.418211422	-1.062731456	-1.233294807
0.892873016	-1.127214388	0.733642679	1.434107287	2.415948169	-0.861896839	-1.348034759	0.418211422	-1.062731456	-1.233294807
0.892873016	-1.127214388	0.733642679	1.434107287	-0.412478956	1.156203077	0.739244868	0.418211422	-1.062731456	0.808020736
0.892873016	-1.127214388	0.733642679	-0.694876727	-0.412478956	-0.861896839	0.739244868	-2.382832522	-1.062731456	0.808020736
0.892873016	-1.127214388	0.733642679	1.434107287	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
0.892873016	-1.127214388	0.733642679	1.434107287	-0.412478956	-0.861896839	0.739244868	0.418211422	-1.062731456	-1.233294807
0.892873016	-1.127214388	0.733642679	-0.694876727	2.415948169	-0.861896839	0.739244868	0.418211422	-1.062731456	-1.233294807
0.892873016	-1.127214388	0.733642679	1.434107287	-0.412478956	-0.861896839	-1.348034759	0.418211422	-1.062731456	0.808020736
0.892873016	-1.127214388	-1.358328525	-0.694876727	-0.412478956	-0.861896839	-1.348034759	-2.382832522	0.937704226	0.808020736
0.892873016	-1.127214388	0.733642679	-0.694876727	2.415948169	1.156203077	-1.348034759	0.418211422	-1.062731456	-1.233294807
0.892873016	-1.127214388	-1.358328525	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	-1.062731456	-1.233294807
0.892873016	-1.127214388	0.733642679	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	-1.062731456	0.808020736
0.892873016	-1.127214388	-1.358328525	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
0.892873016	-1.127214388	0.733642679	1.434107287	-0.412478956	1.156203077	-1.348034759	0.418211422	-1.062731456	0.808020736
0.892873016	-1.127214388	0.733642679	1.434107287	-0.412478956	-0.861896839	-1.348034759	0.418211422	-1.062731456	-1.233294807
0.892873016	-1.127214388	0.733642679	1.434107287	-0.412478956	1.156203077	0.739244868	0.418211422	-1.062731456	-1.233294807
0.892873016	-1.127214388	0.733642679	1.434107287	-0.412478956	-0.861896839	0.739244868	-2.382832522	-1.062731456	-1.233294807
0.892873016	-1.127214388	0.733642679	1.434107287	-0.412478956	-0.861896839	-1.348034759	0.418211422	-1.062731456	0.808020736
0.892873016	-1.127214388	0.733642679	1.434107287	-0.412478956	-0.861896839	-1.348034759	-2.382832522	-1.062731456	-1.233294807
0.892873016	-1.127214388	0.733642679	1.434107287	2.415948169	-0.861896839	0.739244868	0.418211422	-1.062731456	0.808020736
0.892873016	-1.127214388	0.733642679	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
0.892873016	-1.127214388	0.733642679	1.434107287	-0.412478956	-0.861896839	-1.348034759	-2.382832522	-1.062731456	-1.233294807
0.892873016	-1.127214388	0.733642679	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	-1.062731456	-1.233294807
0.892873016	-1.127214388	0.733642679	1.434107287	-0.412478956	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
0.892873016	-1.127214388	0.733642679	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
0.892873016	-1.127214388	0.733642679	1.434107287	-0.412478956	1.156203077	-1.348034759	-2.382832522	-1.062731456	0.808020736
0.892873016	-1.127214388	0.733642679	1.434107287	-0.412478956	1.156203077	-1.348034759	0.418211422	0.937704226	0.808020736
0.892873016	-1.127214388	-1.358328525	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	-1.062731456	0.808020736
0.892873016	-1.127214388	0.733642679	1.434107287	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	-1.233294807
0.892873016	-1.127214388	0.733642679	-0.694876727	-0.412478956	1.156203077	-1.348034759	0.418211422	-1.062731456	-1.233294807
0.892873016	-1.127214388	0.733642679	1.434107287	2.415948169	-0.861896839	-1.348034759	0.418211422	-1.062731456	-1.233294807
0.892873016	-1.127214388	0.733642679	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
0.892873016	-1.127214388	0.733642679	-0.694876727	-0.412478956	-0.861896839	-1.348034759	-2.382832522	-1.062731456	-1.233294807
0.892873016	-1.127214388	0.733642679	1.434107287	-0.412478956	1.156203077	-1.348034759	0.418211422	-1.062731456	-1.233294807
-1.11609127	0.070710866	0.733642679	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	0.070710866	0.733642679	-0.694876727	-0.412478956	-0.861896839	-1.348034759	-2.382832522	-1.062731456	-1.233294807
-1.11609127	0.070710866	0.733642679	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	0.070710866	0.733642679	1.434107287	-0.412478956	1.156203077	-1.348034759	0.418211422	-1.062731456	-1.233294807
-1.11609127	0.070710866	0.733642679	1.434107287	-0.412478956	1.156203077	-1.348034759	0.418211422	-1.062731456	-1.233294807
-1.11609127	0.070710866	-1.358328525	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	-1.062731456	-1.233294807
-1.11609127	0.070710866	0.733642679	-0.694876727	-0.412478956	-0.861896839	0.739244868	-2.382832522	-1.062731456	-1.233294807
-1.11609127	0.070710866	-1.358328525	-0.694876727	-0.412478956	1.156203077	-1.348034759	-2.382832522	-1.062731456	-1.233294807
-1.11609127	0.070710866	0.733642679	-0.694876727	-0.412478956	1.156203077	-1.348034759	0.418211422	0.937704226	-1.233294807
-1.11609127	0.070710866	-1.358328525	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	0.070710866	-1.358328525	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	0.070710866	0.733642679	1.434107287	-0.412478956	-0.861896839	-1.348034759	-2.382832522	0.937704226	0.808020736
-1.11609127	0.070710866	-1.358328525	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	0.937704226	-1.233294807
-1.11609127	0.070710866	0.733642679	1.434107287	2.415948169	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	0.070710866	-1.358328525	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	0.070710866	-1.358328525	-0.694876727	-0.412478956	1.156203077	-1.348034759	-2.382832522	0.937704226	-1.233294807
-1.11609127	0.070710866	0.733642679	-0.694876727	-0.412478956	1.156203077	-1.348034759	0.418211422	-1.062731456	-1.233294807
-1.11609127	0.070710866	0.733642679	1.434107287	-0.412478956	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	0.070710866	0.733642679	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	-1.062731456	-1.233294807
-1.11609127	0.070710866	-1.358328525	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	0.070710866	-1.358328525	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	-1.062731456	-1.233294807
-1.11609127	0.070710866	-1.358328525	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	-1.062731456	-1.233294807
-1.11609127	0.070710866	0.733642679	-0.694876727	2.415948169	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	0.070710866	0.733642679	1.434107287	2.415948169	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	0.070710866	-1.358328525	-0.694876727	-0.412478956	1.156203077	-1.348034759	-2.382832522	0.937704226	0.808020736
-1.11609127	0.070710866	-1.358328525	-0.694876727	-0.412478956	1.156203077	0.739244868	-2.382832522	0.937704226	0.808020736
-1.11609127	0.070710866	-1.358328525	-0.694876727	-0.412478956	1.156203077	-1.348034759	0.418211422	0.937704226	0.808020736
-1.11609127	0.070710866	0.733642679	-0.694876727	-0.412478956	-0.861896839	-1.348034759	0.418211422	-1.062731456	-1.233294807
-1.11609127	0.070710866	-1.358328525	-0.694876727	-0.412478956	-0.861896839	0.739244868	-2.382832522	0.937704226	0.808020736
-1.11609127	0.070710866	0.733642679	1.434107287	-0.412478956	1.156203077	0.739244868	0.418211422	0.937704226	-1.233294807
-1.11609127	0.070710866	0.733642679	1.434107287	2.415948169	-0.861896839	-1.348034759	-2.382832522	0.937704226	0.808020736
-1.11609127	0.070710866	-1.358328525	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	0.070710866	0.733642679	-0.694876727	-0.412478956	1.156203077	-1.348034759	0.418211422	0.937704226	0.808020736
-1.11609127	0.070710866	-1.358328525	-0.694876727	-0.412478956	-0.861896839	-1.348034759	0.418211422	-1.062731456	-1.233294807
-1.11609127	0.070710866	0.733642679	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	0.070710866	-1.358328525	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	0.070710866	-1.358328525	-0.694876727	-0.412478956	-0.861896839	-1.348034759	-2.382832522	0.937704226	0.808020736
-1.11609127	0.070710866	-1.358328525	-0.694876727	-0.412478956	1.156203077	0.739244868	-2.382832522	0.937704226	0.808020736
-1.11609127	0.070710866	-1.358328525	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
0.892873016	0.070710866	0.733642679	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	-1.062731456	-1.233294807
0.892873016	0.070710866	-1.358328525	-0.694876727	-0.412478956	-0.861896839	-1.348034759	0.418211422	0.937704226	0.808020736
0.892873016	0.070710866	0.733642679	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
0.892873016	0.070710866	0.733642679	1.434107287	-0.412478956	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
0.892873016	0.070710866	0.733642679	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	-1.062731456	-1.233294807
0.892873016	0.070710866	0.733642679	1.434107287	-0.412478956	-0.861896839	-1.348034759	0.418211422	-1.062731456	-1.233294807
0.892873016	0.070710866	-1.358328525	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
0.892873016	0.070710866	0.733642679	1.434107287	-0.412478956	1.156203077	0.739244868	0.418211422	-1.062731456	-1.233294807
0.892873016	0.070710866	-1.358328525	-0.694876727	-0.412478956	-0.861896839	-1.348034759	0.418211422	0.937704226	0.808020736
0.892873016	0.070710866	-1.358328525	-0.694876727	-0.412478956	-0.861896839	-1.348034759	-2.382832522	-1.062731456	-1.233294807
0.892873016	0.070710866	0.733642679	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
0.892873016	0.070710866	0.733642679	1.434107287	-0.412478956	-0.861896839	0.739244868	0.418211422	-1.062731456	-1.233294807
0.892873016	0.070710866	0.733642679	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	-1.062731456	0.808020736
0.892873016	0.070710866	0.733642679	1.434107287	2.415948169	-0.861896839	-1.348034759	0.418211422	-1.062731456	0.808020736
0.892873016	0.070710866	0.733642679	-0.694876727	2.415948169	-0.861896839	0.739244868	0.418211422	-1.062731456	0.808020736
0.892873016	0.070710866	-1.358328525	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	-1.062731456	-1.233294807
0.892873016	0.070710866	0.733642679	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	-1.062731456	-1.233294807
0.892873016	0.070710866	0.733642679	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
0.892873016	0.070710866	0.733642679	1.434107287	-0.412478956	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
0.892873016	0.070710866	-1.358328525	-0.694876727	2.415948169	-0.861896839	0.739244868	-2.382832522	-1.062731456	-1.233294807
0.892873016	0.070710866	0.733642679	1.434107287	-0.412478956	-0.861896839	-1.348034759	0.418211422	0.937704226	0.808020736
0.892873016	0.070710866	0.733642679	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
0.892873016	0.070710866	0.733642679	1.434107287	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
0.892873016	0.070710866	-1.358328525	-0.694876727	-0.412478956	-0.861896839	-1.348034759	-2.382832522	0.937704226	0.808020736
0.892873016	0.070710866	-1.358328525	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	-1.062731456	-1.233294807
0.892873016	0.070710866	0.733642679	1.434107287	2.415948169	1.156203077	0.739244868	0.418211422	-1.062731456	0.808020736
0.892873016	0.070710866	-1.358328525	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	-1.062731456	-1.233294807
0.892873016	0.070710866	0.733642679	1.434107287	-0.412478956	-0.861896839	-1.348034759	-2.382832522	-1.062731456	-1.233294807
0.892873016	0.070710866	0.733642679	1.434107287	-0.412478956	-0.861896839	-1.348034759	0.418211422	0.937704226	0.808020736
0.892873016	0.070710866	0.733642679	1.434107287	2.415948169	-0.861896839	0.739244868	0.418211422	0.937704226	-1.233294807
0.892873016	0.070710866	0.733642679	1.434107287	2.415948169	1.156203077	-1.348034759	0.418211422	0.937704226	-1.233294807
0.892873016	0.070710866	0.733642679	-0.694876727	-0.412478956	1.156203077	-1.348034759	0.418211422	-1.062731456	-1.233294807
0.892873016	0.070710866	0.733642679	-0.694876727	-0.412478956	-0.861896839	-1.348034759	-2.382832522	-1.062731456	-1.233294807
0.892873016	0.070710866	-1.358328525	-0.694876727	-0.412478956	-0.861896839	-1.348034759	0.418211422	-1.062731456	0.808020736
0.892873016	0.070710866	0.733642679	-0.694876727	-0.412478956	-0.861896839	-1.348034759	0.418211422	0.937704226	0.808020736
0.892873016	0.070710866	0.733642679	-0.694876727	2.415948169	-0.861896839	-1.348034759	0.418211422	0.937704226	0.808020736
0.892873016	0.070710866	-1.358328525	-0.694876727	-0.412478956	-0.861896839	-1.348034759	0.418211422	-1.062731456	-1.233294807
0.892873016	0.070710866	-1.358328525	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	-1.062731456	0.808020736
0.892873016	0.070710866	-1.358328525	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
0.892873016	0.070710866	-1.358328525	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
0.892873016	0.070710866	-1.358328525	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	-1.062731456	0.808020736
0.892873016	0.070710866	0.733642679	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	-1.062731456	-1.233294807
0.892873016	0.070710866	0.733642679	1.434107287	-0.412478956	-0.861896839	0.739244868	0.418211422	-1.062731456	0.808020736
0.892873016	0.070710866	0.733642679	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	-1.233294807
0.892873016	0.070710866	0.733642679	1.434107287	-0.412478956	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
0.892873016	0.070710866	0.733642679	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	-1.062731456	-1.233294807
0.892873016	0.070710866	0.733642679	1.434107287	-0.412478956	-0.861896839	0.739244868	0.418211422	-1.062731456	-1.233294807
0.892873016	0.070710866	-1.358328525	-0.694876727	-0.412478956	1.156203077	-1.348034759	0.418211422	-1.062731456	-1.233294807
-1.11609127	1.268636119	-1.358328525	-0.694876727	2.415948169	1.156203077	0.739244868	-2.382832522	0.937704226	0.808020736
-1.11609127	1.268636119	0.733642679	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	1.268636119	-1.358328525	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	1.268636119	-1.358328525	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	-1.062731456	-1.233294807
-1.11609127	1.268636119	0.733642679	-0.694876727	-0.412478956	1.156203077	-1.348034759	0.418211422	-1.062731456	-1.233294807
-1.11609127	1.268636119	-1.358328525	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	1.268636119	0.733642679	1.434107287	-0.412478956	1.156203077	-1.348034759	0.418211422	-1.062731456	-1.233294807
-1.11609127	1.268636119	0.733642679	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	1.268636119	-1.358328525	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	1.268636119	0.733642679	-0.694876727	-0.412478956	1.156203077	-1.348034759	0.418211422	0.937704226	0.808020736
-1.11609127	1.268636119	0.733642679	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	0.937704226	-1.233294807
-1.11609127	1.268636119	0.733642679	1.434107287	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	1.268636119	0.733642679	1.434107287	-0.412478956	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	1.268636119	0.733642679	1.434107287	2.415948169	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	1.268636119	-1.358328525	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	1.268636119	-1.358328525	-0.694876727	-0.412478956	-0.861896839	0.739244868	0.418211422	0.937704226	0.808020736
-1.11609127	1.268636119	-1.358328525	-0.694876727	-0.412478956	1.156203077	0.739244868	-2.382832522	0.937704226	0.808020736
-1.11609127	1.268636119	0.733642679	-0.694876727	-0.412478956	1.156203077	0.739244868	0.418211422	0.937704226	0.808020736
